name,played,wins,losses,scaled_rating,rating,event_change,total_change,opponent_value
Afiqah,20,16,4,6.9,1693.4,60,193,10
Isha,23,17,6,6.8,1682.0,37,182,10
Khairul,21,14,7,6.1,1605.4,65,105,10
Hazwan,14,10,4,6.0,1601.7,66,102,10
Aidi,11,8,3,5.9,1588.2,-34,88,10
Ammar,10,7,3,5.8,1580.0,-2,80,10
Kamil,4,3,1,5.5,1549.0,49,49,10
Rafiq,4,3,1,5.4,1537.3,37,37,10
Rushdi,20,10,10,5.3,1530.3,-21,30,10
Suraya,12,7,5,5.2,1522.2,31,22,10
Mujahid,21,10,11,5.1,1512.4,82,12,10
Suhayl,4,2,2,5.0,1501.8,2,2,10
Maisarah,4,2,2,5.0,1499.3,-1,-1,10
Alif,6,3,3,5.0,1495.3,-4,-5,10
Zulhakim,6,3,3,4.9,1493.7,-6,-6,10
Faiz,6,2,4,4.7,1470.6,-29,-29,10
Basit,4,1,3,4.7,1468.0,-32,-32,10
Imran,6,2,4,4.6,1462.4,-38,-38,10
Dina,5,1,4,4.6,1458.7,-41,-41,10
Suhailah,5,1,4,4.5,1449.5,-51,-51,10
Lisa,18,8,10,4.5,1446.6,-47,-53,10
Shazwan,13,6,7,4.4,1443.1,-88,-57,10
Nadia,20,8,12,4.3,1428.8,-54,-71,10
Mirza,22,7,15,4.1,1409.0,31,-91,10
Luqman,10,1,9,3.7,1368.0,-41,-132,10
Hasanah,10,1,9,3.5,1352.8,-67,-147,10
Yassier,21,7,14,3.5,1350.7,-123,-149,10
